Chlamydia caviae	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia caviae
Chlamydia felis	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia felis
Chlamydia gallinacea	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia gallinacea
Chlamydia muridarum	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia muridarum
Chlamydia pecorum	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia pecorum
Chlamydia pneumoniae	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia pneumoniae
Chlamydia psittaci	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia psittaci
Chlamydia sp. 2742-308	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia sp. 2742-308
Chlamydia sp. H15-1957-10C	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia sp. H15-1957-10C
Chlamydia sp. S15-834C	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia sp. S15-834C
Chlamydia suis	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia suis
Chlamydia trachomatis	sk:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydia trachomatis
Enterovirus	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus
Enterovirus A	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Enterovirus A
Enterovirus B	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Enterovirus B
Enterovirus C	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Enterovirus C
Enterovirus D	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Enterovirus D
H1-275-oseltamivir Resistant (H275Y)	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H1-275-oseltamivir Resistant (H275Y)
H1-275-oseltamivir Sensitive	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H1-275-oseltamivir Sensitive
H3-119-oseltamivir Resistant (E119V)	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H3-119-oseltamivir Resistant (E119V)
H3-119-oseltamivir Resistant (I122V)	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H3-119-oseltamivir Resistant (I122V)
H3-119-oseltamivir Sensitive	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H3-119-oseltamivir Sensitive
